Season,Team,WinLossPct,AvgPts,PtDiff,AvgRebounds,AvgAssists,AvgTurnovers,AvgFouls,FGPct,FTPct,ThPct,AvgStealsPlusBlocks,AvgPtsAgainst,OppFGPct,OppThPct
2003,1291,.41,63,-166,35,11,15,21,.39,.70,.32,11,69,.45,.40
2007,1144,.41,76,-95,38,15,17,19,.44,.72,.33,12,79,.47,.34
2008,1208,.50,67,29,39,11,14,18,.43,.67,.33,10,66,.43,.31
2013,1386,.58,67,107,35,14,11,13,.44,.70,.34,10,63,.41,.31
2014,1450,.30,61,-177,35,10,11,18,.40,.66,.33,8,67,.46,.37
2016,1175,.17,60,-421,37,10,14,19,.39,.61,.32,8,74,.45,.33
2017,1239,.46,74,-49,33,12,13,19,.46,.72,.39,9,76,.49,.37
2003,1268,.68,80,390,41,18,14,19,.46,.70,.40,17,66,.38,.31
2004,1332,.56,76,56,34,16,15,19,.46,.73,.40,7,74,.45,.33
2008,1231,.78,75,334,38,13,13,17,.46,.76,.35,10,64,.41,.34
2016,1152,.03,62,-468,41,10,14,21,.37,.66,.30,9,78,.46,.39
2017,1216,.28,66,-329,37,11,14,18,.40,.70,.34,10,77,.45,.39
2008,1254,.50,72,21,42,10,13,17,.40,.68,.32,9,71,.45,.32
2009,1318,.60,62,76,32,11,12,17,.43,.74,.34,9,59,.42,.34
2012,1276,.72,66,144,31,12,10,15,.46,.72,.35,7,62,.43,.35
2013,1340,.23,67,-138,33,12,11,16,.45,.74,.37,7,73,.49,.37
2004,1378,.26,61,-195,34,12,15,18,.43,.65,.32,10,68,.42,.35
2005,1442,.35,66,-96,33,12,15,17,.45,.67,.35,9,69,.45,.37
2008,1277,.76,71,307,36,17,13,18,.48,.73,.37,10,62,.40,.32
2008,1400,.82,74,328,38,12,9,16,.45,.69,.38,11,64,.40,.33
2009,1341,.45,68,-77,39,12,15,19,.42,.64,.31,9,70,.44,.35
2009,1464,.32,64,-144,36,12,13,19,.41,.66,.34,8,69,.44,.34
2012,1299,.31,67,-187,38,12,15,19,.41,.65,.34,10,73,.43,.34
2013,1363,.29,61,-237,40,10,13,17,.37,.66,.29,9,69,.43,.33
2017,1262,.33,77,-112,34,15,15,20,.48,.73,.38,7,81,.47,.37
2003,1122,.74,69,54,36,13,15,18,.45,.69,.35,11,67,.43,.36
2004,1186,.57,70,53,31,15,15,20,.48,.70,.38,7,68,.47,.35
2009,1364,.50,65,0,34,12,15,19,.45,.69,.34,9,65,.45,.37
2010,1428,.45,66,1,35,11,13,20,.43,.75,.32,11,66,.41,.30
